StateDesc,CountyName,CountyFIPS,TotalPopulation,ARTHRITIS_CrudePrev,ARTHRITIS_AdjPrev,BINGE_CrudePrev,BINGE_AdjPrev,BPHIGH_CrudePrev,BPHIGH_AdjPrev,BPMED_CrudePrev,BPMED_AdjPrev,CANCER_CrudePrev,CANCER_AdjPrev,CASTHMA_CrudePrev,CASTHMA_AdjPrev,CERVICAL_CrudePrev,CERVICAL_AdjPrev,CHD_CrudePrev,CHD_AdjPrev,CHECKUP_CrudePrev,CHECKUP_AdjPrev,CHOLSCREEN_CrudePrev,CHOLSCREEN_AdjPrev,COLON_SCREEN_CrudePrev,COLON_SCREEN_AdjPrev,COPD_CrudePrev,COPD_AdjPrev,COREM_CrudePrev,COREM_AdjPrev,COREW_CrudePrev,COREW_AdjPrev,CSMOKING_CrudePrev,CSMOKING_AdjPrev,DENTAL_CrudePrev,DENTAL_AdjPrev,DEPRESSION_CrudePrev,DEPRESSION_AdjPrev,DIABETES_CrudePrev,DIABETES_AdjPrev,GHLTH_CrudePrev,GHLTH_AdjPrev,HIGHCHOL_CrudePrev,HIGHCHOL_AdjPrev,KIDNEY_CrudePrev,KIDNEY_AdjPrev,LPA_CrudePrev,LPA_AdjPrev,MAMMOUSE_CrudePrev,MAMMOUSE_AdjPrev,MHLTH_CrudePrev,MHLTH_AdjPrev,OBESITY_CrudePrev,OBESITY_AdjPrev,PHLTH_CrudePrev,PHLTH_AdjPrev,SLEEP_CrudePrev,SLEEP_AdjPrev,STROKE_CrudePrev,STROKE_AdjPrev,TEETHLOST_CrudePrev,TEETHLOST_AdjPrev,Geolocation,Geo_QNAME,Geo_NAME,ORG_DENSITY,ORG_TOT_POP,ORG_TOT_POP1,ORG_URBANPOP,ORG_RURALPOP,RuralUrban
New Jersey,Warren,34041.0,105267.0,,,,,,,,,,,,,85.3,85.8,,,,,,,67.9,67.0,,,38.9,29.6,31.8,23.6,,,70.6,70.0,,,,,,,,,,,,,73.0,72.5,,,,,,,37.3,38.3,,,11.4,11.5,POINT (-74.9967165 40.85716301),"Warren, New Jersey",Warren,295.6,105503.0,105503.0,65940.0,39563.0,Rural
Oklahoma,Jackson,40065.0,24530.0,23.5,23.0,13.6,13.6,34.5,34.1,73.8,57.9,6.3,6.1,9.7,9.7,82.2,83.0,6.7,6.3,74.4,74.1,83.5,83.8,60.2,58.7,7.3,7.1,33.1,25.2,31.8,23.7,17.0,17.4,61.2,61.1,21.2,21.2,12.1,11.8,22.6,22.6,33.8,31.3,3.2,3.1,38.3,38.5,71.8,71.5,15.0,15.0,35.6,36.3,13.8,13.8,37.1,37.7,3.4,3.3,18.6,18.8,POINT (-99.41467445 34.58811786),"Jackson, Oklahoma",Jackson,30.5,24467.0,24467.0,18432.0,6035.0,Rural
Illinois,Lawrence,17101.0,15678.0,27.9,25.6,20.4,21.5,35.4,33.3,73.6,56.8,7.4,6.5,9.5,9.5,81.6,82.2,7.3,6.4,74.6,73.4,83.9,83.0,62.9,61.2,8.7,8.0,32.3,24.7,27.8,20.6,21.2,21.7,58.0,57.8,21.1,21.2,11.7,10.7,21.6,20.9,33.1,29.3,3.2,2.9,30.8,30.3,69.0,68.7,15.4,15.8,38.4,38.8,14.5,13.9,36.1,36.8,3.8,3.4,17.1,17.2,POINT (-87.72684251 38.7203392),"Lawrence, Illinois",Lawrence,42.1,15666.0,15666.0,6509.0,9157.0,Rural
Kansas,Barton,20009.0,25779.0,27.7,23.7,15.4,17.1,37.2,32.9,77.1,56.8,7.9,6.4,9.6,9.7,81.6,82.6,7.4,5.8,75.1,72.6,83.9,82.1,60.6,58.4,7.9,6.7,31.6,24.4,29.8,22.3,17.8,18.7,60.0,59.3,18.6,19.0,13.0,11.0,21.1,20.0,36.2,30.4,3.4,2.9,32.7,32.1,69.7,69.0,14.6,15.4,36.5,37.0,13.4,12.5,32.9,34.2,3.8,3.1,17.1,17.2,POINT (-98.75632156 38.478934),"Barton, Kansas",Barton,28.7,25721.0,25721.0,17553.0,8168.0,Rural
Alaska,Anchorage,2020.0,288000.0,19.3,20.0,18.8,18.2,28.8,29.8,64.0,48.5,5.6,6.0,9.3,9.2,83.5,84.1,4.5,4.8,68.1,68.8,80.4,81.2,59.2,58.4,4.9,5.0,26.7,20.8,33.4,25.1,15.5,15.3,68.2,68.5,17.3,17.0,8.1,8.3,15.1,15.3,29.4,27.8,2.4,2.5,20.2,20.5,68.4,67.4,12.7,12.4,30.6,30.7,10.0,10.1,34.6,34.4,2.6,2.7,11.7,12.2,POINT (-149.1141071 61.1504589),"Anchorage, Alaska",,,,,,,
Oklahoma,Stephens,40137.0,43143.0,30.4,25.7,12.0,13.5,41.3,36.0,77.6,57.7,8.2,6.6,10.3,10.5,81.5,82.3,8.8,6.8,77.2,74.5,85.1,82.8,56.8,54.6,9.9,8.4,33.3,25.5,36.6,27.2,20.8,21.8,58.9,58.3,23.2,23.9,12.8,10.5,23.8,22.2,36.3,30.0,3.6,3.0,40.1,39.1,69.9,69.6,15.7,16.7,36.4,36.5,15.9,14.6,36.0,37.3,4.3,3.5,20.4,20.6,POINT (-97.85149263 34.485439),"Stephens, Oklahoma",Stephens,49.6,43180.0,43180.0,24445.0,18735.0,Rural
West Virginia,Mingo,54059.0,23424.0,44.5,37.6,11.2,13.1,49.8,43.0,80.5,62.1,8.6,6.8,12.1,12.2,81.1,81.5,12.0,9.3,80.2,77.4,85.9,82.6,62.9,60.9,15.3,12.7,39.3,30.1,32.0,24.0,28.6,29.5,41.6,41.1,31.2,32.1,18.0,14.1,34.5,31.7,42.0,34.2,4.2,3.5,39.5,38.1,68.7,68.0,22.5,24.1,48.5,47.4,23.5,21.2,47.8,48.7,5.4,4.3,29.3,30.4,POINT (-82.13487448 37.7266469),"Mingo, West Virginia",Mingo,55.1,23322.0,23322.0,2385.0,20937.0,Rural
Minnesota,Carlton,27017.0,35871.0,25.3,21.6,22.2,24.5,32.0,28.1,76.4,55.9,7.9,6.6,9.3,9.3,85.2,85.5,6.8,5.5,73.4,71.0,84.6,82.3,68.4,67.1,6.5,5.6,33.7,25.9,32.9,24.6,19.8,20.4,70.3,69.9,21.9,22.4,10.1,8.5,16.4,15.2,29.8,24.7,3.0,2.6,22.7,22.0,73.6,72.9,12.8,13.5,31.3,31.0,12.3,11.3,31.0,31.7,3.5,2.9,11.7,11.9,POINT (-92.67718507 46.59234267),"Carlton, Minnesota",Carlton,41.8,36007.0,36007.0,16072.0,19935.0,Rural
Nebraska,Butler,31023.0,8016.0,25.5,20.4,20.7,24.0,32.9,27.1,79.7,57.0,8.5,6.5,7.8,7.9,83.8,84.4,7.0,5.2,72.6,68.6,84.3,81.1,63.8,61.9,6.4,5.2,31.9,24.8,35.8,26.6,15.8,17.0,63.8,63.1,14.1,14.7,10.4,8.2,14.9,13.5,32.7,25.9,2.9,2.3,28.1,27.0,71.3,71.1,11.0,11.9,36.7,36.9,11.1,9.9,31.2,32.6,3.4,2.6,13.2,13.3,POINT (-97.13109076 41.22606487),"Butler, Nebraska",Butler,13.7,8037.0,8037.0,2763.0,5274.0,Rural
Kentucky,Green,21087.0,10941.0,40.0,33.0,12.3,14.5,46.3,39.3,81.7,62.4,8.9,6.9,10.6,10.8,81.9,82.5,10.8,8.1,82.2,79.3,89.9,87.4,63.1,61.5,13.9,11.4,33.9,26.1,31.0,23.1,26.9,28.4,53.1,52.4,26.6,27.7,16.1,12.5,29.3,26.7,40.6,33.2,4.1,3.2,37.1,35.6,68.1,68.0,18.1,19.6,38.5,38.0,20.0,17.9,40.7,42.0,5.3,4.1,26.7,27.2,POINT (-85.55275689 37.26385887),"Green, Kentucky",Green,38.4,10978.0,10978.0,0.0,10978.0,Rural
